id,soldDate,latitude,longitude,floorSize,beds,bathrooms,url,address,city,state,zipCode,price
zpid_43066603,5/26/2023,26.200718,-80.111015,700,1,1,https://www.zillow.com/homedetails/2210-NE-56th-Pl-APT-106-Fort-Lauderdale-FL-33308/43066603_zpid/,2210 NE 56th Pl APT 106,Fort Lauderdale,FL,33308,175000
zpid_43068260,5/26/2023,26.205462,-80.1223,650,1,1,https://www.zillow.com/homedetails/6260-NE-18th-Ave-809-Fort-Lauderdale-FL-33308/43068260_zpid/,6260 NE 18th Ave #809,Fort Lauderdale,FL,33308,111970
zpid_43069832,6/7/2023,26.187792,-80.106544,1550,2,2,https://www.zillow.com/homedetails/3001-NE-47th-Ct-APT-216-Fort-Lauderdale-FL-33308/43069832_zpid/,3001 NE 47th Ct APT 216,Fort Lauderdale,FL,33308,422000
zpid_43072456,5/25/2023,26.186367,-80.140976,988,2,2,https://www.zillow.com/homedetails/4790-NE-4th-Ave-Oakland-Park-FL-33334/43072456_zpid/,4790 NE 4th Ave,Oakland Park,FL,33334,429000
zpid_43074649,5/25/2023,26.190619,-80.18122,1393,2,2,https://www.zillow.com/homedetails/2818-NW-52nd-Ct-Fort-Lauderdale-FL-33309/43074649_zpid/,2818 NW 52nd Ct,Fort Lauderdale,FL,33309,375000
zpid_43076814,5/26/2023,26.166664,-80.195244,1879,4,4,https://www.zillow.com/homedetails/3527-NW-32nd-St-Fort-Lauderdale-FL-33309/43076814_zpid/,3527 NW 32nd St,Fort Lauderdale,FL,33309,455000
zpid_43077465,6/7/2023,26.179096,-80.19479,1611,3,3,https://www.zillow.com/homedetails/4301-NW-34th-Way-Fort-Lauderdale-FL-33309/43077465_zpid/,4301 NW 34th Way,Fort Lauderdale,FL,33309,447500
zpid_43078126,5/26/2023,26.17798,-80.17137,920,2,2,https://www.zillow.com/homedetails/110-Lake-Emerald-Dr-APT-203-Oakland-Park-FL-33309/43078126_zpid/,110 Lake Emerald Dr APT 203,Oakland Park,FL,33309,235000
zpid_43078379,5/26/2023,26.167315,-80.183205,1012,2,2,https://www.zillow.com/homedetails/2840-S-Oakland-Forest-Dr-APT-2906-Oakland-Park-FL-33309/43078379_zpid/,2840 S Oakland Forest Dr APT 2906,Oakland Park,FL,33309,349778
zpid_43078564,5/31/2023,26.167236,-80.18074,1061,2,2,https://www.zillow.com/homedetails/2780-S-Oakland-Forest-Dr-APT-1803-Fort-Lauderdale-FL-33309/43078564_zpid/,2780 S Oakland Forest Dr APT 1803,Fort Lauderdale,FL,33309,245000
zpid_43078851,5/26/2023,26.173937,-80.17781,920,2,2,https://www.zillow.com/homedetails/115-Lake-Emerald-Dr-APT-110-Oakland-Park-FL-33309/43078851_zpid/,115 Lake Emerald Dr APT 110,Oakland Park,FL,33309,213000
zpid_43079902,5/31/2023,26.167145,-80.17071,1625,3,3,https://www.zillow.com/homedetails/2030-NW-32nd-Ct-Oakland-Park-FL-33309/43079902_zpid/,2030 NW 32nd Ct,Oakland Park,FL,33309,560000
zpid_43079952,5/26/2023,26.176702,-80.1688,1804,3,3,https://www.zillow.com/homedetails/3997-NW-19th-Ave-Oakland-Park-FL-33309/43079952_zpid/,3997 NW 19th Ave,Oakland Park,FL,33309,595000
zpid_43080814,5/31/2023,26.170803,-80.16543,975,2,2,https://www.zillow.com/homedetails/112-Royal-Park-Dr-APT-3G-Fort-Lauderdale-FL-33309/43080814_zpid/,112 Royal Park Dr APT 3G,Fort Lauderdale,FL,33309,190000
zpid_43081397,5/31/2023,26.174461,-80.149,1270,3,3,https://www.zillow.com/homedetails/260-NW-39th-St-Oakland-Park-FL-33309/43081397_zpid/,260 NW 39th St,Oakland Park,FL,33309,535000
zpid_43083650,6/5/2023,26.176348,-80.127,1274,3,3,https://www.zillow.com/homedetails/1530-NE-40th-Ct-Oakland-Park-FL-33334/43083650_zpid/,1530 NE 40th Ct,Oakland Park,FL,33334,800000
zpid_43084053,5/31/2023,26.173012,-80.12108,1590,2,2,https://www.zillow.com/homedetails/3652-NE-19th-Ave-Oakland-Park-FL-33308/43084053_zpid/,3652 NE 19th Ave,Oakland Park,FL,33308,680000
zpid_43084146,5/31/2023,26.171974,-80.12181,1786,3,3,https://www.zillow.com/homedetails/3548-NE-18th-Ave-Oakland-Park-FL-33334/43084146_zpid/,3548 NE 18th Ave,Oakland Park,FL,33334,1090000
zpid_43084216,5/31/2023,26.172342,-80.10679,4704,5,5,https://www.zillow.com/homedetails/2816-NE-36th-St-Fort-Lauderdale-FL-33308/43084216_zpid/,2816 NE 36th St,Fort Lauderdale,FL,33308,4800000
zpid_43084749,6/5/2023,26.181192,-80.1043,4690,5,5,https://www.zillow.com/homedetails/3091-NE-42nd-St-Fort-Lauderdale-FL-33308/43084749_zpid/,3091 NE 42nd St,Fort Lauderdale,FL,33308,3790000
zpid_43085974,5/31/2023,26.159037,-80.11134,1635,2,2,https://www.zillow.com/homedetails/2708-NE-25th-Pl-Fort-Lauderdale-FL-33305/43085974_zpid/,2708 NE 25th Pl,Fort Lauderdale,FL,33305,980000
zpid_43086002,5/19/2023,26.158485,-80.11177,3250,4,4,https://www.zillow.com/homedetails/2517-NE-27th-Ave-Fort-Lauderdale-FL-33305/43086002_zpid/,2517 NE 27th Ave,Fort Lauderdale,FL,33305,2500000
zpid_43086620,5/31/2023,26.163998,-80.11089,1708,3,3,https://www.zillow.com/homedetails/2733-NE-28th-St-Fort-Lauderdale-FL-33306/43086620_zpid/,2733 NE 28th St,Fort Lauderdale,FL,33306,960000
zpid_43086672,5/25/2023,26.161373,-80.11001,2034,4,4,https://www.zillow.com/homedetails/2633-Bayview-Dr-Fort-Lauderdale-FL-33306/43086672_zpid/,2633 Bayview Dr,Fort Lauderdale,FL,33306,1320000
zpid_43086883,6/7/2023,26.160921,-80.120415,1765,3,3,https://www.zillow.com/homedetails/2024-Coral-Gardens-Dr-Wilton-Manors-FL-33306/43086883_zpid/,2024 Coral Gardens Dr,Wilton Manors,FL,33306,1130000
zpid_43087760,5/25/2023,26.16286,-80.13507,1542,3,3,https://www.zillow.com/homedetails/2817-NE-9th-Ave-Wilton-Manors-FL-33334/43087760_zpid/,2817 NE 9th Ave,Wilton Manors,FL,33334,125000
zpid_43088069,5/25/2023,26.1634,-80.12362,1792,3,3,https://www.zillow.com/homedetails/1743-NE-28th-St-Wilton-Manors-FL-33334/43088069_zpid/,1743 NE 28th St,Wilton Manors,FL,33334,690000
zpid_43089078,5/19/2023,26.165306,-80.135666,761,2,2,https://www.zillow.com/homedetails/2920-NE-8th-Ter-APT-106-Wilton-Manors-FL-33334/43089078_zpid/,2920 NE 8th Ter APT 106,Wilton Manors,FL,33334,301000
zpid_43089382,6/5/2023,26.157429,-80.14959,1573,3,3,https://www.zillow.com/homedetails/432-NW-24th-St-Wilton-Manors-FL-33311/43089382_zpid/,432 NW 24th St,Wilton Manors,FL,33311,640500
zpid_43090486,6/7/2023,26.151846,-80.1376,1250,2,2,https://www.zillow.com/homedetails/6-Hathaway-Ln-Wilton-Manors-FL-33305/43090486_zpid/,6 Hathaway Ln,Wilton Manors,FL,33305,555000
zpid_43091403,5/30/2023,26.164309,-80.13926,700,1,1,https://www.zillow.com/homedetails/3004-NE-5th-Ter-APT-314C-Wilton-Manors-FL-33334/43091403_zpid/,3004 NE 5th Ter APT 314C,Wilton Manors,FL,33334,275000
zpid_43092343,5/30/2023,26.156446,-80.18242,2069,5,5,https://www.zillow.com/homedetails/2860-NW-24th-Ct-Fort-Lauderdale-FL-33311/43092343_zpid/,2860 NW 24th Ct,Fort Lauderdale,FL,33311,430000
