id,latitude,longitude,floorSize,beds,bathrooms,url,address,city,state,zipCode,price
zpid_43231383,26.043606,-80.30765,1896,3,3,https://www.zillow.com/homedetails/60-Forest-Cir-Hollywood-FL-33026/43231383_zpid/,60 Forest Cir,Hollywood,FL,33026,4400
zpid_43231883,26.034294,-80.310936,1564,3,3,https://www.zillow.com/homedetails/2925-Azalea-Dr-Cooper-City-FL-33026/43231883_zpid/,2925 Azalea Dr,Cooper City,FL,33026,3650
zpid_43232455,26.03789,-80.29742,3756,4,4,https://www.zillow.com/homedetails/3701-Starboard-Ave-Hollywood-FL-33026/43232455_zpid/,3701 Starboard Ave,Hollywood,FL,33026,6850
zpid_43232484,26.043627,-80.30188,1668,3,2.5,https://www.zillow.com/homedetails/11575-N-Open-Ct-Hollywood-FL-33026/43232484_zpid/,11575 N Open Ct,Hollywood,FL,33026,4000
zpid_43233712,26.039173,-80.354805,1580,3,3,https://www.zillow.com/homedetails/15510-Gauntlet-Hall-Mnr-Fort-Lauderdale-FL-33331/43233712_zpid/,15510 Gauntlet Hall Mnr,Fort Lauderdale,FL,33331,4250
zpid_43233777,26.041164,-80.36087,2500,4,3,https://www.zillow.com/homedetails/6241-Sedgewyck-Cir-W-Fort-Lauderdale-FL-33331/43233777_zpid/,6241 Sedgewyck Cir W,Fort Lauderdale,FL,33331,4700
zpid_43238223,26.013453,-80.35531,1982,4,4,https://www.zillow.com/homedetails/588-NW-158th-Ln-Pembroke-Pines-FL-33028/43238223_zpid/,588 NW 158th Ln,Pembroke Pines,FL,33028,3625
zpid_43239069,26.016363,-80.355095,2066,3,3,https://www.zillow.com/homedetails/15850-NW-11th-St-Pembroke-Pines-FL-33028/43239069_zpid/,15850 NW 11th St,Pembroke Pines,FL,33028,3965
zpid_43239269,26.020033,-80.35579,2382,4,4,https://www.zillow.com/homedetails/1396-NW-159th-Ave-Pembroke-Pines-FL-33028/43239269_zpid/,1396 NW 159th Ave,Pembroke Pines,FL,33028,4000
zpid_43243678,26.016161,-80.30686,1440,3,3,https://www.zillow.com/homedetails/11933-NW-12th-St-Hollywood-FL-33026/43243678_zpid/,11933 NW 12th St,Hollywood,FL,33026,3400
zpid_43252413,26.006779,-80.365616,2395,3,3,https://www.zillow.com/homedetails/103-SW-164th-Ave-Hollywood-FL-33027/43252413_zpid/,103 SW 164th Ave,Hollywood,FL,33027,3930
zpid_43254141,25.994822,-80.38779,1953,4,4,https://www.zillow.com/homedetails/1362-SW-178th-Way-Hollywood-FL-33029/43254141_zpid/,1362 SW 178th Way,Hollywood,FL,33029,4250
zpid_43254650,25.986185,-80.38539,1577,3,3,https://www.zillow.com/homedetails/2554-SW-177th-Ter-Hollywood-FL-33029/43254650_zpid/,2554 SW 177th Ter,Hollywood,FL,33029,3490
zpid_43257252,25.992767,-80.32133,2207,4,4,https://www.zillow.com/homedetails/13101-SW-17th-Ct-Hollywood-FL-33027/43257252_zpid/,13101 SW 17th Ct,Hollywood,FL,33027,3825
zpid_43261025,25.97184,-80.349785,2399,4,4,https://www.zillow.com/homedetails/4005-SW-153rd-Ave-Miramar-FL-33027/43261025_zpid/,4005 SW 153rd Ave,Miramar,FL,33027,4800
zpid_43261838,25.991116,-80.3848,1477,4,4,https://www.zillow.com/homedetails/1876-SW-177th-Ter-Hollywood-FL-33029/43261838_zpid/,1876 SW 177th Ter,Hollywood,FL,33029,3435
zpid_43263830,25.96436,-80.35002,1471,3,3,https://www.zillow.com/homedetails/4801-SW-153rd-Ter-Hollywood-FL-33027/43263830_zpid/,4801 SW 153rd Ter,Hollywood,FL,33027,3750
zpid_43265209,26.035362,-80.20179,900,3,3,https://www.zillow.com/homedetails/5631-Simms-St-Hollywood-FL-33021/43265209_zpid/,5631 Simms St,Hollywood,FL,33021,3545
zpid_43265662,26.033443,-80.22225,875,3,3,https://www.zillow.com/homedetails/6641-Raleigh-St-Hollywood-FL-33024/43265662_zpid/,6641 Raleigh St,Hollywood,FL,33024,2825
zpid_43269749,26.04319,-80.28046,3255,4,4,https://www.zillow.com/homedetails/10000-NW-41st-St-Cooper-City-FL-33024/43269749_zpid/,10000 NW 41st St,Cooper City,FL,33024,9700
zpid_43269891,26.043379,-80.26778,2650,4,4,https://www.zillow.com/homedetails/4023-NW-89th-Way-Hollywood-FL-33024/43269891_zpid/,4023 NW 89th Way,Hollywood,FL,33024,6000
zpid_43270554,26.031454,-80.2819,1957,4,4,https://www.zillow.com/homedetails/10211-Caracas-St-Hollywood-FL-33026/43270554_zpid/,10211 Caracas St,Hollywood,FL,33026,4300
zpid_43270773,26.033968,-80.29297,1666,3,3,https://www.zillow.com/homedetails/10923-Chandler-Dr-Cooper-City-FL-33026/43270773_zpid/,10923 Chandler Dr,Cooper City,FL,33026,3400
zpid_43271367,26.038946,-80.281876,2318,4,4,https://www.zillow.com/homedetails/3604-Barbados-Ave-Cooper-City-FL-33026/43271367_zpid/,3604 Barbados Ave,Cooper City,FL,33026,6500
zpid_43272468,26.029072,-80.28448,2071,4,4,https://www.zillow.com/homedetails/2411-NW-103rd-Ave-Hollywood-FL-33026/43272468_zpid/,2411 NW 103rd Ave,Hollywood,FL,33026,6200
zpid_43274837,26.025877,-80.27177,2192,3,2,https://www.zillow.com/homedetails/9401-NW-20th-St-Hollywood-FL-33024/43274837_zpid/,9401 NW 20th St,Hollywood,FL,33024,3295
zpid_43277429,,,1328,2,2,https://www.zillow.com/homedetails/Hollywood-FL-33024/43277429_zpid/,(undisclosed Address),Hollywood,FL,33024,2500
zpid_43278479,26.02544,-80.25541,2094,4,4,https://www.zillow.com/homedetails/8431-NW-19th-St-Pembroke-Pines-FL-33024/43278479_zpid/,8431 NW 19th St,Pembroke Pines,FL,33024,4100
zpid_43279882,26.01802,-80.23748,1274,3,3,https://www.zillow.com/homedetails/1010-N-74th-Way-Hollywood-FL-33024/43279882_zpid/,1010 N 74th Way,Hollywood,FL,33024,3700
zpid_43280449,26.023443,-80.23617,1009,2,2,https://www.zillow.com/homedetails/1600-N-73rd-Way-Hollywood-FL-33024/43280449_zpid/,1600 N 73rd Way,Hollywood,FL,33024,2700
zpid_43280649,26.029325,-80.22391,1100,3,3,https://www.zillow.com/homedetails/6770-Liberty-St-Hollywood-FL-33024/43280649_zpid/,6770 Liberty St,Hollywood,FL,33024,2915
zpid_43282134,26.0278,-80.21734,1462,3,3,https://www.zillow.com/homedetails/6441-Coolidge-St-Hollywood-FL-33024/43282134_zpid/,6441 Coolidge St,Hollywood,FL,33024,5000
zpid_43282290,,,1822,4,2,https://www.zillow.com/homedetails/Hollywood-FL-33024/43282290_zpid/,(undisclosed Address),Hollywood,FL,33024,3495
zpid_43284036,26.026793,-80.21151,1336,3,3,https://www.zillow.com/homedetails/6150-Harding-St-Hollywood-FL-33024/43284036_zpid/,6150 Harding St,Hollywood,FL,33024,3700
zpid_43284721,26.013346,-80.20056,1008,2,2,https://www.zillow.com/homedetails/5625-Taylor-St-Hollywood-FL-33021/43284721_zpid/,5625 Taylor St,Hollywood,FL,33021,2350
zpid_43285020,26.003214,-80.2143,1156,3,3,https://www.zillow.com/homedetails/6320-Adams-St-Hollywood-FL-33023/43285020_zpid/,6320 Adams St,Hollywood,FL,33023,3150
zpid_43287022,,,1344,3,3,https://www.zillow.com/homedetails/Hollywood-FL-33024/43287022_zpid/,(undisclosed Address),Hollywood,FL,33024,5500
zpid_43288193,26.014732,-80.23924,1089,3,1,https://www.zillow.com/homedetails/7561-Pierce-St-Hollywood-FL-33024/43288193_zpid/,7561 Pierce St,Hollywood,FL,33024,2565
zpid_43288224,26.013313,-80.238075,1615,2,2,https://www.zillow.com/homedetails/7501-Fillmore-St-Hollywood-FL-33024/43288224_zpid/,7501 Fillmore St,Hollywood,FL,33024,2600
zpid_43288265,26.011845,-80.23856,1255,2,2,https://www.zillow.com/homedetails/7531-Polk-St-Hollywood-FL-33024/43288265_zpid/,7531 Polk St,Hollywood,FL,33024,2750
zpid_43288699,26.01493,-80.23307,1457,3,2,https://www.zillow.com/homedetails/7231-McArthur-Pkwy-Hollywood-FL-33024/43288699_zpid/,7231 McArthur Pkwy,Hollywood,FL,33024,3195
zpid_43288811,26.010849,-80.23461,1456,3,3,https://www.zillow.com/homedetails/7311-NW-1st-Ct-Pembroke-Pines-FL-33024/43288811_zpid/,7311 NW 1st Ct,Pembroke Pines,FL,33024,4495
zpid_43289359,26.013159,-80.26228,1543,3,3,https://www.zillow.com/homedetails/8830-NW-6th-St-Hollywood-FL-33024/43289359_zpid/,8830 NW 6th St,Hollywood,FL,33024,3000
zpid_43290919,26.005655,-80.27781,1600,3,3,https://www.zillow.com/homedetails/300-SW-99th-Ter-Hollywood-FL-33025/43290919_zpid/,300 SW 99th Ter,Hollywood,FL,33025,4000
zpid_43293056,26.012806,-80.29297,1570,3,3,https://www.zillow.com/homedetails/605-NW-108th-Ter-Pembroke-Pines-FL-33026/43293056_zpid/,605 NW 108th Ter,Pembroke Pines,FL,33026,3000
zpid_43293288,26.01274,-80.28079,1795,3,3,https://www.zillow.com/homedetails/10121-NW-6th-St-Hollywood-FL-33026/43293288_zpid/,10121 NW 6th St,Hollywood,FL,33026,3650
zpid_43293985,25.999474,-80.28555,2608,4,4,https://www.zillow.com/homedetails/1068-SW-104th-Way-Pembroke-Pines-FL-33025/43293985_zpid/,1068 SW 104th Way,Pembroke Pines,FL,33025,4300
zpid_43297272,25.992842,-80.25646,1177,3,3,https://www.zillow.com/homedetails/1782-SW-85th-Ave-Hollywood-FL-33025/43297272_zpid/,1782 SW 85th Ave,Hollywood,FL,33025,2900
zpid_43303845,25.988846,-80.21143,870,3,3,https://www.zillow.com/homedetails/6235-SW-24th-St-Miramar-FL-33023/43303845_zpid/,6235 SW 24th St,Miramar,FL,33023,3000
zpid_43307110,25.97837,-80.21799,1797,4,3,https://www.zillow.com/homedetails/6624-Coconut-Dr-Hollywood-FL-33023/43307110_zpid/,6624 Coconut Dr,Hollywood,FL,33023,3799
zpid_43313953,26.043253,-80.14683,1885,4,4,https://www.zillow.com/homedetails/247-SW-5th-St-Dania-FL-33004/43313953_zpid/,247 SW 5th St,Dania,FL,33004,6999
zpid_43314127,26.036505,-80.14785,1471,2,2,https://www.zillow.com/homedetails/1208-SW-3rd-Ave-Dania-Beach-FL-33004/43314127_zpid/,1208 SW 3rd Ave,Dania Beach,FL,33004,2500
zpid_43314351,26.042007,-80.14061,3176,5,5,https://www.zillow.com/homedetails/235-SE-6th-St-Dania-FL-33004/43314351_zpid/,235 SE 6th St,Dania,FL,33004,9500
zpid_43314752,26.044981,-80.140495,1960,3,3,https://www.zillow.com/homedetails/218-SE-3rd-Pl-Dania-FL-33004/43314752_zpid/,218 SE 3rd Pl,Dania,FL,33004,5500
zpid_43314983,26.0444,-80.14103,1616,5,5,https://www.zillow.com/homedetails/218-SE-4th-St-Dania-Beach-FL-33004/43314983_zpid/,218 SE 4th St,Dania Beach,FL,33004,10000
zpid_43314998,26.043657,-80.14109,1770,3,3,https://www.zillow.com/homedetails/214-SE-4th-Ter-Dania-FL-33004/43314998_zpid/,214 SE 4th Ter,Dania,FL,33004,4200
zpid_43315088,26.039438,-80.138985,1617,3,3,https://www.zillow.com/homedetails/719-SE-3rd-Ave-Dania-Beach-FL-33004/43315088_zpid/,719 SE 3rd Ave,Dania Beach,FL,33004,3500
zpid_43317008,26.042862,-80.17323,3500,5,5,https://www.zillow.com/homedetails/3180-N-36th-St-Hollywood-FL-33021/43317008_zpid/,3180 N 36th St,Hollywood,FL,33021,10000
zpid_43320461,26.025066,-80.17565,1479,3,3,https://www.zillow.com/homedetails/1610-N-Park-Rd-Hollywood-FL-33021/43320461_zpid/,1610 N Park Rd,Hollywood,FL,33021,4200
zpid_43321575,26.019646,-80.18537,1726,3,3,https://www.zillow.com/homedetails/4108-Hayes-St-Hollywood-FL-33021/43321575_zpid/,4108 Hayes St,Hollywood,FL,33021,4500
