id,soldDate,latitude,longitude,floorSize,beds,bathrooms,url,address,city,state,zipCode,price
zpid_42909833,for sale,26.25414,-80.120544,1259,3,2,https://www.zillow.com/homedetails/1830-NE-2nd-Ter-Pompano-Beach-FL-33060/42909833_zpid/,1830 NE 2nd Ter,Pompano Beach,FL,33060,315000
zpid_42927782,for sale,26.291489,-80.100815,817,2,2,https://www.zillow.com/homedetails/1714-NE-49th-Ct-Pompano-Beach-FL-33064/42927782_zpid/,1714 NE 49th Ct,Pompano Beach,FL,33064,399000
zpid_42935979,for sale,26.276917,-80.09441,1000,2,2,https://www.zillow.com/homedetails/2100-NE-38th-St-APT-208-Lighthouse-Pt-FL-33064/42935979_zpid/,2100 NE 38th St APT 208,Lighthouse Pt,FL,33064,190000
zpid_42936803,for sale,26.262915,-80.095604,1844,4,3,https://www.zillow.com/homedetails/2051-NE-25th-St-Lighthouse-Pt-FL-33064/42936803_zpid/,2051 NE 25th St,Lighthouse Pt,FL,33064,699000
zpid_42937265,for sale,26.26422,-80.083496,1300,2,2,https://www.zillow.com/homedetails/2758-NE-30th-Ave-APT-4C-Pompano-Beach-FL-33064/42937265_zpid/,2758 NE 30th Ave APT 4C,Pompano Beach,FL,33064,424500
zpid_42940121,for sale,26.24949,-80.09928,1080,2,2,https://www.zillow.com/homedetails/2350-NE-14th-St-204-Pompano-Beach-FL-33062/42940121_zpid/,2350 NE 14th St #204,Pompano Beach,FL,33062,285000
zpid_42940952,for sale,26.250965,-80.0885,792,1,1,https://www.zillow.com/homedetails/1450-N-Riverside-Dr-APT-206-Pompano-Beach-FL-33062/42940952_zpid/,1450 N Riverside Dr APT 206,Pompano Beach,FL,33062,278000
zpid_42949977,for sale,26.16671,-80.31016,1580,3,2,https://www.zillow.com/homedetails/3232-NW-122nd-Ave-Sunrise-FL-33323/42949977_zpid/,3232 NW 122nd Ave,Sunrise,FL,33323,499999
zpid_42956913,for sale,26.226795,-80.23008,1116,3,2,https://www.zillow.com/homedetails/309-SW-77th-Ave-Pompano-Beach-FL-33068/42956913_zpid/,309 SW 77th Ave,Pompano Beach,FL,33068,380000
zpid_42958078,for sale,26.214338,-80.22164,1012,2,2,https://www.zillow.com/homedetails/7215-SW-11th-Ct-Pompano-Beach-FL-33068/42958078_zpid/,7215 SW 11th Ct,Pompano Beach,FL,33068,273000
zpid_42963976,for sale,26.217735,-80.25704,1245,3,3,https://www.zillow.com/homedetails/7720-NW-79th-Ave-APT-B4-Tamarac-FL-33321/42963976_zpid/,7720 NW 79th Ave APT B4,Tamarac,FL,33321,340000
zpid_42968396,for sale,26.210766,-80.29491,1348,2,3,https://www.zillow.com/homedetails/10921-Periwinkle-Ln-Fort-Lauderdale-FL-33321/42968396_zpid/,10921 Periwinkle Ln,Fort Lauderdale,FL,33321,346000
zpid_42969319,for sale,26.2126,-80.29351,1222,2,2,https://www.zillow.com/homedetails/10661-W-Clairmont-Cir-304-Fort-Lauderdale-FL-33321/42969319_zpid/,10661 W Clairmont Cir #304,Fort Lauderdale,FL,33321,195000
zpid_42972783,for sale,26.20756,-80.27509,950,2,2,https://www.zillow.com/homedetails/9201-Lime-Bay-Blvd-APT-107-Tamarac-FL-33321/42972783_zpid/,9201 Lime Bay Blvd APT 107,Tamarac,FL,33321,190000
zpid_42990732,for sale,26.192427,-80.255646,2032,4,2,https://www.zillow.com/homedetails/7821-NW-54th-Ct-Lauderhill-FL-33351/42990732_zpid/,7821 NW 54th Ct,Lauderhill,FL,33351,553500
zpid_43012609,for sale,26.152208,-80.21462,1185,2,2,https://www.zillow.com/homedetails/4770-NW-21st-St-APT-106-Lauderhill-FL-33313/43012609_zpid/,4770 NW 21st St APT 106,Lauderhill,FL,33313,149000
zpid_43013341,for sale,26.152315,-80.21371,928,1,2,https://www.zillow.com/homedetails/4740-NW-21st-St-APT-205-Lauderhill-FL-33313/43013341_zpid/,4740 NW 21st St APT 205,Lauderhill,FL,33313,124900
zpid_43018814,for sale,26.15968,-80.24077,969,3,2,https://www.zillow.com/homedetails/6881-NW-26th-St-Fort-Lauderdale-FL-33313/43018814_zpid/,6881 NW 26th St,Fort Lauderdale,FL,33313,349900
zpid_43019631,for sale,26.151165,-80.25195,2271,5,2,https://www.zillow.com/homedetails/8045-NW-21st-St-Sunrise-FL-33322/43019631_zpid/,8045 NW 21st St,Sunrise,FL,33322,565000
zpid_43028636,for sale,26.15204,-80.288795,1660,3,2,https://www.zillow.com/homedetails/10530-NW-21st-Ct-Sunrise-FL-33322/43028636_zpid/,10530 NW 21st Ct,Sunrise,FL,33322,577500
